 𡎑 AN400001221391 12AN4000021391
 頇 AN400001209807 12AN4000009807
 𡹼 AN400001221e7c 12AN4000021e7c
 暗 AN400001306697 13AN4000006697
 𥏮 AN4000014253ee 14AN40000253ee
 䎨 AN4000014043a8 14AN40000043a8
 䎏 AN40000140438f 14AN400000438f
 𡪙 AN400001421a99 14AN4000021a99
 𨲊 AN400001528c8a 15AN4000028c8a
 𣽥 AN400001523f65 15AN4000023f65
 錌 AN40000160930c 16AN400000930c
 儑 AN400001605111 16AN4000005111
 𩓤 AN4000017294e4 17AN40000294e4
 鮟 AN400001709b9f 17AN4000009b9f
 𩭢 AN400001829b62 18AN4000029b62
 𥳬 AN400001825cec 18AN4000025cec
 䬓 AN400001804b13 18AN4000004b13
 䮗 AN400001804b97 18AN4000004b97
 㱘 AN400001803c58 18AN4000003c58
 𩹎 AN400002029e4e 20AN4000029e4e
 黬 AN400002109eec 21AN4000009eec
 䯥 AN400002404be5 24AN4000004be5
 肮 ANG100008080ae 08ANG1000080ae
 𠵫 ANG10001120d6b 11ANG100020d6b
 骯 ANG10001409aaf 14ANG100009aaf
 𡕉 ANG10001821549 18ANG100021549
 卬 ANG2000040536c 04ANG20000536c
 岇 ANG20000705c87 07ANG200005c87
 昂 ANG20000806602 08ANG200006602
 䀚 ANG2000090401a 09ANG20000401a
 昻 ANG2000090663b 09ANG20000663b
 䒢 ANG200010044a2 10ANG2000044a2
 㭿 ANG20001203b7f 12ANG200003b7f
 𤭒 ANG20001224b52 12ANG200024b52
 䩕 ANG20001304a55 13ANG200004a55
 𩑝 ANG2000132945d 13ANG20002945d
 䭹 ANG20001404b79 14ANG200004b79
 䭺 ANG20001404b7a 14ANG200004b7a
 𩔘 ANG20001829518 18ANG200029518
 䍩 ANG30001004369 10ANG300004369
 軮 ANG30001208eee 12ANG300008eee
 雵 ANG300013096f5 13ANG3000096f5
 𦫫 ANG30001626aeb 16ANG300026aeb
 𢓋 ANG400007224cb 07ANG4000224cb
 𡵙 ANG40000721d59 07ANG400021d59
 枊 ANG4000080678a 08ANG40000678a
 㼜 ANG40001003f1c 10ANG400003f1c
 盎 ANG400010076ce 10ANG4000076ce
 𩉰 ANG40001329270 13ANG400029270
 㦹 ANG400013039b9 13ANG4000039b9
